id	Masse(g)	LT(mm)	LF(mm)	Masse Poissons evisceree(g)	Filet
MERNMER_Z0001_G0001	168,85	264	225	136,61	0
MERNMER_Z0001_G0002	59,38	207	175	50,81	0
MERNMER_Z0001_G0003	45,35	180	140	41,57	0
MERNMER_Z0001_G0004	74,35	204	174	65,43	0
MERNMER_Z0001_G0005		240	205	83,17	2
MERNMER_Z0001_G0006	112,96	250	200	99,84	0
MERNMER_Z0001_G0007	80,15	214	181	68,91	0
MERNMER_Z0001_G0008	33,38	172	126	28,86	0
MERNMER_Z0001_G0009	47,35	187	160	41,2	0
MERNMER_Z0001_G0010		174	140	33,29	0
MERNMER_Z0001_G0011	298,7	313	270		0
MERNMER_Z0001_G0012	245,7	309	252	203,83	0
MERNMER_Z0001_G0013	52,88	186	155	44,92	0
MERNMER_Z0001_G0014	160,72	260	210	127,48	0
MERNMER_Z0001_G0015	117,45	263	225	108,48	0
MERNMER_Z0002_G0016	168,75	260	216	146,28	0
MERNMER_Z0002_G0017	186,28	272	230	141,68	0
MERNMER_Z0002_G0018	-110	285	232	159,68	0
MERNMER_Z0002_G0019	251,2	301	256	-210	0

